OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
5708,2011056847,2011,2,35,3,S
5709,2011056847,2011,2,,,E
5710,2011056848,2011,3,45,3,S
5711,2011056850,2011,2,35,3,S
5712,2011056850,2011,1,,,E
5713,2011056851,2011,2,30,3,S
5714,2011056852,2011,2,35,3,W
5715,2011056852,2011,99,,,S
5716,2011056853,2011,2,35,3,N
5717,2011056855,2011,2,30,3,N
5718,2011056855,2011,2,30,3,S
5719,2011056855,2011,2,25,3,W
5720,2011056856,2011,2,,,W
5721,2011056856,2011,2,,,N
5722,2011056857,2011,2,,,N
5723,2011056857,2011,2,,,E
5724,2011056858,2011,1,35,,E
5725,2011056859,2011,3,,,S
5726,2011056860,2011,1,25,,E
5727,2011056860,2011,1,25,,S
5728,2011056861,2011,3,35,,S
5729,2011056862,2011,1,,,N
5730,2011056863,2011,2,30,3,S
5731,2011056864,2011,2,35,3,E
5732,2011056865,2011,3,,,W
5733,2011056865,2011,,,,N
5734,2011056867,2011,2,25,3,W
5735,2011056867,2011,99,25,,N
5736,2011056868,2011,2,,,E
5737,2011056868,2011,2,,,S
5738,2011056869,2011,3,35,3,W
5739,2011056870,2011,2,30,3,N
5740,2011056871,2011,2,35,3,E
5741,2011056871,2011,2,,,E
5742,2011056872,2011,1,20,,N
5743,2011056873,2011,2,15,,E
5744,2011056874,2011,1,25,,S
5745,2011056874,2011,2,25,,E
5746,2011056875,2011,2,30,3,U
